lull	trust
anesthesia	surgery
vaccine	inoculation
antiseptic	alcohol
antidote	poisoning
iron	wrinkle
candle	wax
tub	liquid
furnace	heat
chimney	smoke
secret	stranger
loan	borrower
rescue	knight
congratulation	victor
record	athlete
oak	tree
staple	paper
sprout	seed
tooth	comb
tide	beach
theatrical	emotion
naive	sophistication
scrupulous	propriety
self-righteous	indignation
formidable	awe
oil	lubricate
disinfectant	contaminate
concrete	harden
storm	thunder
steam	evaporate
byline	newspaper
laughter	comedy
subtitle	film
translation	paraphrase
billboard	road
goad	urge
accuse	apologize
regret	remember
betray	follow
evaluate	praise
determined	hesitate
authoritarian	heed
persistent	persevere
abandoned	neglect
restrained	rebel
admire	reputation
obey	leader
cooperate	partner
mimic	gesture
mock	sarcasm
politician	campaign
tenant	dwelling
jailer	cell
secretary	desk
retiree	service
theory	refute
explanation	suffice
blueprint	construct
entertainment	divert
expedition	discover
studio	painter
library	research
theater	performance
picture	frame
orchestra	conductor
well	water
saw	wood
sweater	wool
fuel	fire
ink	paper
mirage	reality
forum	discussion
asylum	pursuit
utopia	place
amphitheater	stage
exploited	protection
healthy	medication
insular	discovery
productive	surplus
navigable	sailing
revive	exhausted
reward	outstanding
resume	interrupted
replace	stolen
repaint	glossy
escape	unfettered
judge	punitive
modify	invariable
flourish	vigorous
protect	dangerous
speak	sound
wave	hand
whisper	word
stub	toe
sing	bird
mixture	soluble
sugar	sweet
medicine	prescribed
milk	bottled
solid	liquid
hunch	intuitive
ploy	spontaneous
maxim	hackneyed
hypothesis	tested
daydream	bored
pleasure	hedonist
emotion	demagogue
opinion	sympathizer
seance	medium
luxury	ascetic
recognition	achievement
practice	expertise
camaraderie	combativeness
insolence	pride
politeness	behavior
malediction	harm
oration	formality
talisman	object
enchantment	happiness
divination	future
house	architect
sink	plumber
studio	painter
meat	butcher
drill	dentist
binding	book
design	building
direction	sign
market	commodity
catalogue	library
ingredient	food
ruler	length
calories	menu
degree	temperature
headphones	music
glacial	cold
coastal	tidal
damp	muddy
snowbound	polar
shallow	deep
reaction	response
distortion	image
nutrient	growth
evaporation	liquid
combustion	heat
legislator	voter
clergy	congregation
advertiser	product
defendant	verdict
consumer	goods
dance	ballet
magazine	cover
set	scenery
anthology	poem
concert	orchestra
draftee	enroll
novice	train
president	elect
guard	protect
comedian	laugh
broadcaster	news
virtuoso	skill
protege	sponsorship
maverick	group
colleague	camaraderie
preamble	document
footnote	reference
epilogue	play
signature	name
index	page
profane	behavior
paranoid	persecution
contrite	offense
superficial	depth
contemptuous	scorn
ecstatic	contentment
idolatrous	doubt
narcissistic	appearance
penitent	wrongdoing
surreptitious	stealth
extricate	difficulty
exemplify	illustration
expedite	process
divulge	secret
bewilder	confusion
muscle	bone
smudge	blemish
rash	allergy
layer	veneer
stain	fabric
guitarist	pick
cook	heat
sculptor	studio
weaver	cloth
potter	shape
march	follow
carouse	revel
nap	sleep
impress	notice
jog	sprint
extol	praise
educate	learn
beautify	refresh
tempt	repel
hide	secrete
salvage	rescuer
restate	emphasis
recall	product
reclaim	land
irrigate	earth
detailed	sketch
melodious	music
colorful	cliche
tragic	play
ornate	building
crust	sandwich
shingle	roof
data	file
layer	cake
root	plant
pollinate	bee
cure	disease
stimulate	growth
hatch	egg
filter	impurity
placemat	table
napkin	mouth
fork	plate
lace	boot
curtain	window
manual	instructions
directory	pages
almanac	years
dictionary	writers
tome	books
horse	mule
dinosaur	reptile
venom	snake
rooster	hen
dog	puppy
reverse	direction
postpone	event
assign	choice
endure	patience
embezzle	fraud
boon	beneficial
egotist	conceited
rascal	predictable
maxim	hackneyed
toady	important
shovel	dirt
alarm	clock
barrier	intrusion
signal	reception
light	illumination
interlude	musical
conclusion	argument
foreword	novel
epilogue	address
premiere	performance
promising	achievement
vindictive	vengeance
precocious	youth
concerned	empathy
cruel	mercy
title	play
subject	digression
guideline	policy
theme	essay
footnote	text
housemates	residence
faculty	scholarship
idols	worship
kin	reunion
authors	anthology
silent	talk
humorous	laugh
dangerous	risk
deceitful	cheat
gracious	accept
pouch	kangaroo
root	soil
drop	water
bark	tree
egg	bird
monarch	castle
child	parent
volume	bookcase
watch	timepiece
wax	candle
sue	lawyer
hire	employee
pose	painter
pay	debtor
purchase	buyer
bard	poetry
crescendo	scale
lyricist	melody
portrait	photography
critic	performance
anonymous	identity
remorseful	misdeed
deleterious	result
impressionable	temptation
sanctimonious	hypocrisy
